kind,b0,b1,b2,b3,b4,b5,bp_rp_min,bp_rp_max
dwarf,0.4929,0.5092,-0.0353,0.0192,-0.0020,-0.0395,0.39,1.50
giant,0.5323,0.4775,-0.0344,-0.0110,-0.0020,-0.0009,0.33,1.81
